DATE,Adj Close,Close,High,Low,Open,Volume,Stock Price,EPS,PE,vix_Open,vix_High,vix_Low,vix_close,daily_returns,Date_net,Net_Income,Equity,Previous_Equity,Avg_Equity,Quarterly_ROE (%),,,,,DATE,daily_returns
4/1/2019,59.50767899,59.7215004,59.83300018,59.09999847,59.20500183,25050000,59.73246384,2.34,25.52669395,24.09,24.23,22.25,22.99,0,6/30/2019,9947,14930,14949,14939.5,66.58188025,,,,,4/1/2019,0
4/2/2019,59.80959702,60.0245018,60.06750107,59.28549957,59.76599884,16558000,60.0592804,2.34,25.66635914,22.2,23.61,21.79,23.02,0.507359781,9/30/2019,7068,14894,14930,14912,47.39806867,,,,,4/2/2019,0.130491518
4/3/2019,60.08012772,60.29600143,60.81499863,60.02500153,60.37400055,20286000,60.32183075,2.34,25.77856015,23.14,23.42,22.09,23.03,0.452319884,12/31/2019,10671,14902,14894,14898,71.62706404,,,,,4/3/2019,0.043440487
4/4/2019,60.53250122,60.75,60.78350067,60.20650101,60.29700089,19000000,60.75226974,2.34,25.96250844,23.52,23.63,22.34,22.93,0.752950297,3/31/2020,6836,14774,14902,14838,46.07089904,,,,,4/4/2019,-0.43421624
4/5/2019,60.1414032,60.35749817,60.81100082,60.25149918,60.74950027,18144000,60.35371017,2.34,25.79218384,22.69,24.42,22.56,23.55,-0.646095919,6/30/2020,6959,14668,14774,14721,47.27260376,,,,,4/5/2019,2.703881378
4/8/2019,59.97650146,60.19200134,60.43450165,59.99300003,60.39450073,17204000,60.19578934,2.34,25.7246963,24.81,24.96,23.53,24.21,-0.274190044,9/30/2020,11247,14639,14668,14653.5,76.75299417,,,,,4/8/2019,2.802547771
4/9/2019,59.64817429,59.86249924,60.11449814,59.65399933,59.79999924,17528000,59.91729736,2.34,25.60568263,24.73,24.94,23.9,24.83,-0.547426345,12/31/2020,15227,14665,14639,14652,103.9243789,,,,,4/9/2019,2.560925238
4/10/2019,59.89280319,60.10800171,60.18925095,59.82175064,60.0340004,14492000,60.10461426,2.34,25.68573259,24.19,25.02,23.77,24.69,0.410119677,3/31/2021,17930,14558,14665,14611.5,122.7115628,,,,,4/10/2019,-0.563834072
4/11/2019,60.01535797,60.23099899,60.39799881,60.00650024,60.19800186,14204000,60.26104736,2.34,25.75258434,24.92,25.01,23.74,24.76,0.20462355,6/30/2021,18525,14506,14558,14532,127.4772915,,,,,4/11/2019,0.283515593
4/12/2019,60.67549133,60.89350128,60.91749954,60.4054985,60.5,18668000,60.91567993,2.34,26.03234185,24.92,24.94,23.32,24.08,1.099940719,9/30/2021,18936,14438,14506,14472,130.8457711,,,,,4/12/2019,-2.746365105
4/15/2019,60.83641052,61.05500031,61.20999908,60.45550156,60.90000153,23748000,61.10499191,2.34,26.11324441,25.43,26.16,24.85,25.63,0.265212834,12/31/2021,20642,14462,14438,14450,142.8512111,,,,,4/15/2019,6.436877076
4/16/2019,61.13682556,61.35649872,61.54100037,61.00600052,61.25,17126000,61.37301636,2.34,26.22778477,24.33,25.59,23.95,25.11,0.493807964,3/31/2022,16436,14242,14462,14352,114.5206243,,,,,4/16/2019,-2.028872415
